epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.078,1.4899,4.31565,1.52727,0.08333,0.02881,0.02875,0.02444,1.04031,4.25295,1.1368,0.000117169,0.000117169,0.000117169
2,220.615,1.12308,3.89984,1.2959,0.84496,0.05902,0.12177,0.08859,1.0199,3.62132,1.10987,0.000214914,0.000214914,0.000214914
3,329.55,1.06353,3.44019,1.24709,0.65359,0.19253,0.17529,0.13253,1.06325,2.98331,1.14684,0.000291239,0.000291239,0.000291239
4,438.513,1.04328,2.94567,1.22048,0.73517,0.24296,0.27893,0.20925,0.96359,2.44775,1.08152,0.00026061,0.00026061,0.00026061
5,547.278,1.02974,2.52596,1.21522,0.79036,0.29379,0.34036,0.25614,0.93054,2.12556,1.07086,0.00022848,0.00022848,0.00022848
6,657.374,0.96775,2.20791,1.19357,0.76383,0.34511,0.39762,0.29516,0.92043,2.01908,1.07124,0.00019635,0.00019635,0.00019635
7,766.87,0.93567,1.99233,1.17382,0.73415,0.41499,0.44494,0.33255,0.85877,1.78775,1.02816,0.00016422,0.00016422,0.00016422
8,877.807,0.90188,1.85866,1.16826,0.75713,0.42484,0.46607,0.35371,0.82567,1.66746,1.01154,0.00013209,0.00013209,0.00013209
9,987.261,0.86124,1.7178,1.13457,0.77278,0.46653,0.48565,0.36901,0.79871,1.6029,0.9987,9.996e-05,9.996e-05,9.996e-05
10,1097.02,0.8332,1.66576,1.12778,0.78478,0.47294,0.50337,0.38546,0.78968,1.55694,0.99403,6.783e-05,6.783e-05,6.783e-05
