epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.8077,1.51183,4.16059,1.54212,0.02171,0.28481,0.09123,0.06645,1.11874,3.54066,1.20383,0.000118085,0.000118085,0.000118085
2,186.176,1.16658,3.06997,1.34321,0.7614,0.19483,0.22702,0.16419,1.06469,2.66218,1.17829,0.000215747,0.000215747,0.000215747
3,279.544,1.07851,2.46002,1.28569,0.70248,0.30676,0.32293,0.22943,0.98648,2.10007,1.13581,0.000291989,0.000291989,0.000291989
4,374.411,1.02283,2.07385,1.24155,0.77572,0.356,0.39231,0.2854,0.92879,1.87305,1.09807,0.00026061,0.00026061,0.00026061
5,467.883,0.96618,1.82632,1.20358,0.78578,0.38868,0.43341,0.32119,0.89456,1.70209,1.06796,0.00022848,0.00022848,0.00022848
6,561.61,0.92808,1.71225,1.19178,0.80429,0.43634,0.47312,0.35454,0.8453,1.52722,1.05207,0.00019635,0.00019635,0.00019635
7,655.327,0.89179,1.58824,1.16619,0.79002,0.46899,0.51279,0.37868,0.83803,1.51263,1.03385,0.00016422,0.00016422,0.00016422
8,749.009,0.86556,1.53637,1.16572,0.79532,0.47771,0.52502,0.3953,0.79789,1.41245,1.01569,0.00013209,0.00013209,0.00013209
9,842.376,0.84274,1.44733,1.1364,0.82094,0.48456,0.54669,0.41028,0.79223,1.39217,1.01024,9.996e-05,9.996e-05,9.996e-05
10,935.745,0.80929,1.4068,1.12283,0.7989,0.51465,0.56244,0.4234,0.78302,1.34569,1.00354,6.783e-05,6.783e-05,6.783e-05
