epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.0798,1.51866,4.19315,1.54498,0.03103,0.18506,0.07464,0.05498,1.06396,3.76742,1.15892,0.000117632,0.000117632,0.000117632
2,193.344,1.1482,3.09923,1.33486,0.74336,0.19649,0.25517,0.18323,1.02123,2.58601,1.15274,0.000215335,0.000215335,0.000215335
3,290,1.05201,2.43963,1.26556,0.71893,0.29454,0.31605,0.22717,0.98326,2.15422,1.12557,0.000291618,0.000291618,0.000291618
4,386.541,1.00435,2.03818,1.22318,0.73633,0.38376,0.39728,0.28842,0.91389,1.82662,1.08411,0.00026061,0.00026061,0.00026061
5,483.25,0.95327,1.83185,1.18924,0.80771,0.39963,0.44707,0.32776,0.85913,1.65262,1.04249,0.00022848,0.00022848,0.00022848
6,581.04,0.90856,1.67099,1.1765,0.82079,0.43659,0.48499,0.36001,0.84523,1.53501,1.05449,0.00019635,0.00019635,0.00019635
7,677.622,0.8713,1.57335,1.14095,0.81937,0.46872,0.52558,0.39205,0.81396,1.47968,1.0151,0.00016422,0.00016422,0.00016422
8,774.012,0.84167,1.51875,1.13885,0.78734,0.5203,0.54411,0.41711,0.77195,1.37739,1.00141,0.00013209,0.00013209,0.00013209
9,870.023,0.8209,1.42938,1.12116,0.82451,0.51143,0.56271,0.4325,0.77446,1.34167,1.00277,9.996e-05,9.996e-05,9.996e-05
10,966.466,0.79762,1.38329,1.11369,0.82808,0.52097,0.57057,0.43308,0.76225,1.3066,0.99302,6.783e-05,6.783e-05,6.783e-05
