epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.87,1.35235,5.19152,1.37037,0.00858,0.10623,0.03344,0.02794,0.97232,5.10675,1.06038,0.000117632,0.000117632,0.000117632
2,267.307,1.05,4.47461,1.19644,0.8134,0.08242,0.09761,0.07734,0.95311,4.17442,1.02929,0.000215335,0.000215335,0.000215335
3,398.965,1.00696,3.85697,1.14925,0.61639,0.16746,0.16627,0.12207,0.98077,3.73124,1.04995,0.000291618,0.000291618,0.000291618
4,531.701,1.01689,3.41605,1.14418,0.65919,0.25505,0.23516,0.17261,0.96135,3.34072,1.04443,0.00026061,0.00026061,0.00026061
5,669.358,0.99788,3.09708,1.12076,0.6203,0.29373,0.27243,0.20715,0.89553,3.13775,0.99451,0.00022848,0.00022848,0.00022848
6,801.422,0.94876,2.94004,1.10662,0.64932,0.27341,0.29903,0.23123,0.90412,2.95286,1.01411,0.00019635,0.00019635,0.00019635
7,929.116,0.93389,2.77637,1.08737,0.66435,0.30711,0.33172,0.25925,0.85443,2.77709,0.97389,0.00016422,0.00016422,0.00016422
8,1057.09,0.91002,2.72226,1.09573,0.62789,0.36416,0.35547,0.27859,0.8322,2.72736,0.96295,0.00013209,0.00013209,0.00013209
9,1185.25,0.88174,2.58862,1.06975,0.64127,0.38004,0.36953,0.29175,0.80728,2.64967,0.95219,9.996e-05,9.996e-05,9.996e-05
10,1312.31,0.85252,2.54575,1.06493,0.64704,0.38103,0.38028,0.30299,0.78477,2.60532,0.94156,6.783e-05,6.783e-05,6.783e-05
