epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.292,1.52706,4.22837,1.55478,0.05551,0.05852,0.03892,0.03052,1.06204,4.03061,1.15254,0.000117169,0.000117169,0.000117169
2,209.65,1.13905,3.17677,1.32986,0.79267,0.16764,0.20868,0.15465,1.02913,2.77298,1.1614,0.000214914,0.000214914,0.000214914
3,311.075,1.03712,2.47602,1.25638,0.70603,0.28701,0.3119,0.2205,0.96385,2.2599,1.1194,0.000291239,0.000291239,0.000291239
4,412.826,0.99356,2.04399,1.2132,0.76958,0.34753,0.39427,0.29358,0.8749,1.78602,1.06743,0.00026061,0.00026061,0.00026061
5,513.315,0.94367,1.80263,1.19009,0.77617,0.40405,0.43827,0.32745,0.85871,1.66938,1.04806,0.00022848,0.00022848,0.00022848
6,615.75,0.89885,1.6645,1.17314,0.84681,0.42585,0.48868,0.37155,0.81606,1.49854,1.03079,0.00019635,0.00019635,0.00019635
7,717.187,0.86438,1.54374,1.14325,0.80043,0.47,0.52619,0.3988,0.80728,1.46643,1.02039,0.00016422,0.00016422,0.00016422
8,817.947,0.83243,1.4811,1.14106,0.81714,0.49201,0.53622,0.40803,0.79138,1.40618,1.01494,0.00013209,0.00013209,0.00013209
9,918.678,0.80919,1.40567,1.11696,0.84474,0.48197,0.55785,0.42754,0.77043,1.34275,0.99957,9.996e-05,9.996e-05,9.996e-05
10,1019.64,0.7827,1.35666,1.10417,0.76915,0.53272,0.56532,0.43573,0.75253,1.31137,0.98983,6.783e-05,6.783e-05,6.783e-05
