epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.88,1.4932,4.31026,1.59121,0.02773,0.07924,0.03804,0.0289,1.0568,4.08431,1.19221,0.000117169,0.000117169,0.000117169
2,249.021,1.10142,3.25402,1.33781,0.74663,0.16387,0.18928,0.13641,1.00513,2.59002,1.16377,0.000214914,0.000214914,0.000214914
3,373.427,1.01192,2.46292,1.28055,0.69857,0.25833,0.29469,0.21168,0.94418,2.17179,1.14452,0.000291239,0.000291239,0.000291239
4,495.133,0.94571,2.03322,1.22898,0.77256,0.32371,0.37473,0.27411,0.8929,1.81348,1.09841,0.00026061,0.00026061,0.00026061
5,616.802,0.91738,1.81051,1.21428,0.707,0.36651,0.42731,0.32025,0.8414,1.69029,1.06832,0.00022848,0.00022848,0.00022848
6,743.301,0.85508,1.64687,1.17984,0.71853,0.4345,0.47353,0.35452,0.78238,1.55369,1.01479,0.00019635,0.00019635,0.00019635
7,872.159,0.83243,1.52217,1.15661,0.74907,0.45531,0.51305,0.38295,0.76903,1.44796,1.0145,0.00016422,0.00016422,0.00016422
8,997.693,0.80562,1.45958,1.15251,0.76496,0.46549,0.53372,0.40503,0.74837,1.40249,1.00027,0.00013209,0.00013209,0.00013209
9,1123.21,0.77884,1.38242,1.12195,0.68861,0.5096,0.54957,0.42142,0.71943,1.3428,0.98058,9.996e-05,9.996e-05,9.996e-05
10,1248.13,0.75912,1.33982,1.11672,0.69341,0.50136,0.5813,0.45047,0.69919,1.30132,0.97521,6.783e-05,6.783e-05,6.783e-05
